timestamp,service,environment,status_code,response_time,user_id,endpoint,request_size,response_size,language
2025-03-17T08:46:56.587993,payment-service,gcp-cloud,200,76.23,user_469,/payments,290,1676,golang
2025-03-31T08:46:56.630979,auth-service,azure-cloud,200,159.15,user_503,/auth/register,4068,1007,nodejs
2025-03-14T08:46:55.924172,user-service,on-prem,201,61.32,user_216,/users/{id},4796,2024,nodejs
2025-03-30T08:46:57.805352,user-service,azure-cloud,201,147.69,user_78,/users/{id},4435,1215,golang
2025-03-15T08:46:51.997044,payment-service,on-prem,200,72.67,user_936,/payments/{id},1909,646,python
2025-03-08T08:46:56.644427,user-service,on-prem,201,70.12,user_146,/users,4723,1286,java
2025-04-01T08:46:56.256024,auth-service,aws-cloud,201,104.69,user_131,/auth/token,3444,605,nodejs
2025-03-31T08:46:48.750627,payment-service,azure-cloud,201,166.34,user_501,/payments,2642,479,python
2025-04-01T08:46:53.341200,auth-service,on-prem,201,74.72,user_619,/auth/login,2362,942,nodejs
2025-03-20T08:46:54.253975,user-service,aws-cloud,200,137.12,user_207,/users,731,270,golang
2025-03-15T08:46:52.707639,payment-service,gcp-cloud,200,111.91,user_224,/payments/verify,2450,2313,java
2025-03-08T08:46:52.249952,inventory-service,gcp-cloud,200,126.81,user_973,/products/{id},977,387,java
2025-03-26T08:46:55.407535,inventory-service,aws-cloud,404,167.09,user_261,/products/{id},4152,1219,golang
2025-03-28T08:46:52.802176,inventory-service,on-prem,200,103.89,user_662,/products/{id},3968,1482,python
2025-03-12T08:46:51.483104,inventory-service,azure-cloud,200,131.79,user_728,/products,4333,357,golang
2025-03-15T08:46:52.740420,user-service,azure-cloud,200,172.83,user_101,/users,1079,1353,java
2025-03-24T08:46:48.972530,inventory-service,gcp-cloud,201,83.63,user_364,/inventory,1045,2481,nodejs
2025-03-27T08:46:57.915169,auth-service,on-prem,200,109.87,user_260,/auth/token,1808,2869,nodejs
2025-03-25T08:46:51.088323,user-service,aws-cloud,201,123.7,user_41,/users/{id},241,1579,java
2025-03-03T08:46:55.144054,auth-service,azure-cloud,200,149.21,user_322,/auth/token,2081,941,golang
2025-04-01T08:46:55.817548,payment-service,on-prem,201,90.33,user_764,/payments,3901,320,java
2025-03-26T08:46:49.614220,auth-service,on-prem,201,110.18,user_370,/auth/login,900,2434,nodejs
2025-03-25T08:46:57.552665,inventory-service,aws-cloud,201,1790.9396990471023,user_205,/products,1595,2682,python
2025-03-09T08:46:49.877980,auth-service,gcp-cloud,201,126.82,user_163,/auth/register,196,1537,golang
2025-03-04T08:46:56.229557,payment-service,gcp-cloud,201,83.02,user_552,/payments,3194,2880,nodejs
2025-03-06T08:46:57.619397,auth-service,azure-cloud,201,128.67,user_539,/auth/register,3069,2987,java
2025-03-13T08:46:53.096860,inventory-service,aws-cloud,201,136.59,user_196,/products,286,2862,python
2025-03-13T08:46:58.302671,user-service,azure-cloud,200,140.74,user_187,/users,1810,651,golang
2025-03-16T08:46:52.899648,inventory-service,aws-cloud,201,115.85,user_140,/inventory,4305,1886,java
2025-03-23T08:46:56.824480,user-service,aws-cloud,201,1872.2340035846787,user_972,/users/search,2489,115,golang
2025-03-27T08:46:53.277181,inventory-service,gcp-cloud,201,91.02,user_819,/products/{id},2878,909,python
2025-03-15T08:46:51.483804,inventory-service,azure-cloud,200,97.03,user_719,/products/{id},2982,852,golang
2025-03-11T08:46:57.871921,inventory-service,azure-cloud,201,145.72,user_847,/products/{id},2348,540,python
2025-03-31T08:46:54.814849,user-service,aws-cloud,200,103.1,user_118,/users/search,2116,1805,python
2025-03-27T08:46:55.482098,inventory-service,on-prem,200,91.14,user_823,/inventory,2632,532,java
2025-03-12T08:46:57.093405,inventory-service,azure-cloud,200,175.07,user_592,/products/{id},3674,1947,java
2025-03-28T08:46:49.682940,payment-service,aws-cloud,201,157.08,user_63,/payments/{id},3554,2185,nodejs
2025-03-14T08:46:49.264322,inventory-service,azure-cloud,201,143.29,user_427,/products/{id},2153,2990,golang
2025-03-13T08:46:53.985029,inventory-service,azure-cloud,201,172.47,user_107,/products,4798,2142,java
2025-03-22T08:46:50.856606,user-service,aws-cloud,200,96.97,user_65,/users/{id},1740,2589,java
2025-03-16T08:46:56.365193,payment-service,aws-cloud,200,111.18,user_489,/payments/{id},622,1200,python
2025-03-12T08:46:56.141802,inventory-service,azure-cloud,200,135.47,user_940,/products,2515,1865,nodejs
2025-03-17T08:46:56.712665,auth-service,gcp-cloud,200,94.68,user_579,/auth/login,1471,2201,java
2025-03-26T08:46:49.979158,user-service,on-prem,500,226.68,user_957,/users/search,1163,2446,java
2025-03-16T08:46:54.277784,user-service,aws-cloud,201,120.85,user_608,/users/search,1491,2420,golang
2025-03-09T08:46:52.095987,user-service,gcp-cloud,200,75.71,user_10,/users/search,3127,952,python
2025-03-13T08:46:55.771705,payment-service,azure-cloud,200,135.06,user_173,/payments/verify,2005,1101,java
2025-03-02T08:46:54.602299,inventory-service,on-prem,201,90.91,user_41,/products,987,2077,java
2025-03-06T08:46:49.347714,payment-service,gcp-cloud,200,104.58,user_236,/payments/{id},782,749,golang
2025-03-16T08:46:53.762766,payment-service,azure-cloud,200,149.47,user_484,/payments/verify,2315,178,golang
2025-04-01T08:46:56.714191,user-service,on-prem,200,81.22,user_213,/users/{id},4802,626,python
2025-03-26T08:46:53.801133,auth-service,gcp-cloud,200,94.77,user_202,/auth/token,3807,1628,java
2025-03-20T08:46:54.019550,user-service,on-prem,200,78.44,user_438,/users/search,2635,658,nodejs
2025-03-06T08:46:49.441693,auth-service,aws-cloud,200,115.86,user_549,/auth/register,1639,2264,python
2025-03-19T08:46:51.793507,auth-service,gcp-cloud,200,110.35,user_85,/auth/register,4833,119,nodejs
2025-03-05T08:46:51.485611,user-service,gcp-cloud,403,113.86,user_386,/users/search,1088,648,java
2025-03-10T08:46:51.245873,auth-service,azure-cloud,201,156.13,user_14,/auth/register,2403,2438,nodejs
2025-03-23T08:46:56.872919,payment-service,on-prem,201,113.1,user_315,/payments/verify,4627,2857,python
2025-03-09T08:46:57.806755,inventory-service,on-prem,200,89.26,user_982,/products/{id},1211,1946,nodejs
2025-03-22T08:46:49.445297,user-service,on-prem,200,1203.0770922335846,user_129,/users/{id},3302,703,nodejs
2025-03-28T08:46:52.297859,user-service,on-prem,200,78.5,user_886,/users,866,2704,nodejs
2025-03-11T08:46:53.018225,auth-service,aws-cloud,200,129.04,user_522,/auth/register,4005,1001,nodejs
2025-03-14T08:46:51.575379,auth-service,aws-cloud,201,116.97,user_322,/auth/register,1987,147,java
2025-03-27T08:46:55.580341,payment-service,on-prem,200,79.73,user_423,/payments/{id},724,2545,python
2025-03-05T08:46:52.551885,auth-service,azure-cloud,201,121.34,user_987,/auth/register,1616,1681,python
2025-03-04T08:46:53.541549,inventory-service,on-prem,201,74.26,user_747,/inventory,3239,630,python
2025-03-29T08:46:51.474180,inventory-service,gcp-cloud,201,103.16,user_857,/products/{id},3945,2471,nodejs
